,REGION_ADMINISTRATIVE,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
Collège d'Alma,Saguenay-Lac-Saint-Jean,Agrinova - Recherche et innovation en agriculture,2016-2017,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Patrick GIRARD,"Développement de la capacité de recherche pour améliorer l'entreposage, la conservation et la qualité des pommes de terre",MES,900000.0,,,900000,2296064,Sciences naturelles et génie,Agroalimentaire,Agriculture,Biologie végétale
Cégep de Sept-Iles,Côte-Nord,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Hussein IBRAHIM,Développement et conception d'une station sanitaire autonome «verte 4.0» à l'ère de COVID-19,MES,33168.0,,,33168,82920,Sciences naturelles et génie,Développement durable et technologies vertes,Fabrication de tout autre type d'instrument,Génie industriel
Cégep de La Pocatière,Bas-Saint-Laurent,BIOPTERRE - Centre de développement des bioproduits,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Josée Soucy,Extraction et quantification de molécules d’intérêt liées à la COVID-19 exprimées transitoire chez Nicotiana benthamiana,MES,,,,0,50000,Sciences naturelles et génie,"Sciences de la vie (recherche clinique, santé humaine, services de santé)",Agriculture,Biologie moléculaire et cellulaire
Centre de recherche informatique de Montréal (CRIM),Montréal,,2017-2018,Initiative sur la cyberinfrastructure,Infrastructure de données de recherche,Samuel FOUCHER,Plateforme d'analyse des données pour les services climatiques canadiens,"MES,MEI",133643.0,,989357.0,1123000,2876000,Sciences naturelles et génie,Environnement et science du climat,Développement de logiciels,Science de l'atmosphère
Cégep de Thetford,Chaudière-Appalaches,,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Alain TREMBLAY,Acquisition de capacité de chromatographie flash,MES,38694.0,,,38694,112964,Sciences naturelles et génie,Développement durable et technologies vertes,Produits pharmaceutiques,Chimie organique
Cégep de Sorel-Tracy,Montérégie,Centre de transfert technologique en écologie industrielle (CTTEI),2018-2019,Fonds collège-industrie pour l'innovation,Volet 1 - Infrastructure de recherche,Jean-François Vermette,Les fluides supercritiques appliqués aux problématiques environnementales : nouveau laboratoire pilote à Sorel-Tracy,MES,999768.0,,,999768,2531258,Sciences naturelles et génie,Développement durable et technologies vertes,Déchets solides,Environnement
Cégep de Rivière-du-Loup,Bas-Saint-Laurent,,2019-2020,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Habib HORCHANI,Biotransformation des matières résiduelles-Optimisation des procédés régionaux,MES,573256.0,,,573256,1435824,Sciences naturelles et génie,Environnement et science du climat,Recyclage des déchets,Environnement
Cégep régional de Lanaudière - Collège constituant de L'Assomption,Lanaudière,INÉDI - Expertise et recherche en design industriel,2019-2020,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Sylvain Poirier,Centre national d'innovations technologiques en sport adapté,MES,399345.0,,,399345,998593,Sciences naturelles et génie,"Sciences de la vie (recherche clinique, santé humaine, services de santé)",Fabrication de tout autre type d'instrument,Conception et fabrication
Cégep de Baie-Comeau,Côte-Nord,Centre d'expérimentation et de développement en forêt boréale (CEDFOB),2020-2021,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Ève-Catherine Desjardins,Renforcement de l'infrastructure de recherche et développement pour l'essor de petits fruits particuliers à la Côte-Nord,MES,1000000.0,,,1000000,2500000,Sciences naturelles et génie,Agroalimentaire,Agriculture,"Agronomie, foresterie"
Collège Mérici,Capitale-Nationale,"TOPMED - Centre collégial de transfert de technologie en orthèses, prothèses et équipements médicaux",2020-2021,Fonds collège-industrie pour l'innovation,Volet 2 - Infrastructure de recherche associée à une demande de subvention d'ICC-RI,Claude MORIN,Prise en charge personnalisée de l’appareillage du membre inférieur,MEI,,,487481.0,487481,1218702,Santé,"Sciences de la vie (recherche clinique, santé humaine, services de santé)",Santé,"Sciences médicales cliniques, divers"
Cégep de Lévis-Lauzon,Chaudière-Appalaches,Centre de robotique et de vision industrielles (CRVI),2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Yves Dessureault,Sécuriser la continuité des services de santé en contexte de COVID-19 par la robotique mobile et intelligente,MES,,,,0,64951,Sciences naturelles et génie,"TIC (télécommunications, multimédia, logiciels, services informatiques)",Production et technologie industrielles,Robotique
Campus Notre-Dame-de-Foy,Capitale-Nationale,Centre de recherche et d’innovation en sécurité civile (RISC),2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Marie-Ève Drouin,Observation du travail des premiers répondants en gestion de crise pandémique,MEI,,,,0,20421,Sciences naturelles et génie,"Sciences de la vie (recherche clinique, santé humaine, services de santé)",Amélioration des conditions de travail,Anthropologie
Cégep Marie-Victorin,Montréal,VESTECHPRO - Centre collégial de transfert en technologie de l'habillement,2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Payam Lazemi,"Acquisition d'infrastructure de test pour l'innovation, le développement et la validation d'EPI liés à la COVID-19",MES,,,,0,49750,Sciences naturelles et génie,"Sciences de la vie (recherche clinique, santé humaine, services de santé)","Produits textiles, d'habillement et en cuir",Conception et fabrication
Cégep de Saint-Laurent,Montréal,Centre des technologies de l'eau (CTE),2020-2021,Fonds des occasions exceptionnelles - COVID-19,,Marc-André Labelle,Systèmes d'échantillonnages automatiques des eaux usées pour la mesure de la COVID-19,MES,,,,0,60782,Sciences naturelles et génie,Environnement et science du climat,Eau,Environnement
