region,Year,civ_libs_vdem_owid
Europe,1993,0.8771282051282051
Europe,1994,0.8791794871794871
Europe,1995,0.8802307692307693
Europe,1996,0.8880256410256411
Europe,1997,0.8896923076923077
Europe,1998,0.8867749999999999
Europe,1999,0.8834634146341463
Europe,2000,0.8912926829268293
Europe,2001,0.8966585365853658
Europe,2002,0.8994634146341464
Europe,2003,0.9009756097560975
Europe,2004,0.9026585365853659
Europe,2005,0.906219512195122
Europe,2006,0.9063658536585366
Europe,2007,0.9063170731707317
Europe,2008,0.9069999999999999
Europe,2009,0.9081219512195121
Europe,2010,0.9100487804878048
Europe,2011,0.9099756097560975
Europe,2012,0.9074390243902438
Europe,2013,0.9026097560975609
Europe,2014,0.8968292682926828
Europe,2015,0.8955365853658537
Europe,2016,0.8918536585365854
Europe,2017,0.8883658536585366
Europe,2018,0.8852926829268292
Europe,2019,0.888219512195122
Europe,2020,0.8672926829268293
Europe,2021,0.8676585365853658
North America,1951,0.5622666666666666
North America,1952,0.5540666666666667
North America,1953,0.5505333333333333
North America,1954,0.5426666666666667
North America,1955,0.5205333333333333
North America,1956,0.5212
North America,1957,0.5212666666666667
North America,1958,0.5144
North America,1959,0.5142666666666666
North America,1960,0.5121333333333333
North America,1961,0.5124666666666667
North America,1962,0.5298666666666667
North America,1963,0.5492
North America,1964,0.5177333333333334
North America,1965,0.5170666666666667
North America,1966,0.5258
North America,1967,0.5269333333333334
North America,1968,0.5106666666666667
North America,1969,0.5050666666666667
North America,1970,0.5093333333333333
North America,1971,0.5098
North America,1972,0.5104666666666666
North America,1973,0.5096666666666666
North America,1974,0.5085333333333334
North America,1975,0.5114
North America,1976,0.5122
North America,1977,0.5152
North America,1978,0.5180666666666667
North America,1979,0.5462666666666666
North America,1980,0.5767333333333333
North America,1981,0.5844666666666666
North America,1982,0.5761333333333333
North America,1983,0.5782
North America,1984,0.5814
North America,1985,0.5855999999999999
North America,1986,0.6013333333333333
North America,1987,0.6236666666666667
North America,1988,0.6292666666666666
North America,1989,0.6338666666666666
North America,1990,0.6955333333333333
North America,1991,0.7081999999999999
North America,1992,0.7166666666666667
North America,1993,0.7363333333333333
North America,1994,0.7467333333333334
North America,1995,0.7776
North America,1996,0.7841333333333333
North America,1997,0.7977333333333333
North America,1998,0.8008000000000001
North America,1999,0.8004
North America,2000,0.8164
North America,2001,0.8178
North America,2002,0.815
North America,2003,0.8135333333333333
North America,2004,0.8158
North America,2005,0.8163333333333334
North America,2006,0.8162
North America,2007,0.8190666666666666
North America,2008,0.8180666666666667
North America,2009,0.8089999999999999
North America,2010,0.8134
North America,2011,0.8126
North America,2012,0.8137333333333333
North America,2013,0.8173333333333334
North America,2014,0.817
North America,2015,0.8166666666666667
North America,2016,0.8166666666666667
North America,2017,0.8053333333333333
North America,2018,0.781
North America,2019,0.7765333333333333
North America,2020,0.7677999999999999
North America,2021,0.7540666666666667
Oceania,1951,0.7083333333333334
Oceania,1952,0.7176666666666667
Oceania,1953,0.7186666666666667
Oceania,1954,0.7200000000000001
Oceania,1955,0.7193333333333333
Oceania,1956,0.7201666666666666
Oceania,1957,0.7201666666666666
Oceania,1958,0.7208333333333333
Oceania,1959,0.7208333333333333
Oceania,1960,0.7399999999999999
Oceania,1961,0.7411666666666666
Oceania,1962,0.7411666666666666
Oceania,1963,0.7418333333333332
Oceania,1964,0.7436666666666666
Oceania,1965,0.7525
Oceania,1966,0.7525
Oceania,1967,0.7541666666666668
Oceania,1968,0.7565
Oceania,1969,0.7565
Oceania,1970,0.8086666666666668
Oceania,1971,0.8106666666666666
Oceania,1972,0.8116666666666666
Oceania,1973,0.815
Oceania,1974,0.815
Oceania,1975,0.8501666666666666
Oceania,1976,0.8473333333333333
Oceania,1977,0.847
Oceania,1978,0.85
Oceania,1979,0.8633333333333333
Oceania,1980,0.874
Oceania,1981,0.8751666666666665
Oceania,1982,0.8753333333333333
Oceania,1983,0.8755000000000001
Oceania,1984,0.8768333333333334
Oceania,1985,0.8766666666666666
Oceania,1986,0.8766666666666666
Oceania,1987,0.8555
Oceania,1988,0.8596666666666666
Oceania,1989,0.8598333333333333
Oceania,1990,0.8633333333333333
Oceania,1991,0.8643333333333333
Oceania,1992,0.8651666666666666
Oceania,1993,0.8668333333333332
Oceania,1994,0.8678333333333333
Oceania,1995,0.8704999999999999
Oceania,1996,0.8701666666666666
Oceania,1997,0.8753333333333333
Oceania,1998,0.8708333333333332
Oceania,1999,0.8513333333333333
Oceania,2000,0.8311666666666667
Oceania,2001,0.839
Oceania,2002,0.8596666666666666
Oceania,2003,0.8703333333333333
Oceania,2004,0.8721666666666666
Oceania,2005,0.8726666666666666
Oceania,2006,0.8654999999999999
Oceania,2007,0.8408333333333333
Oceania,2008,0.8395
Oceania,2009,0.8388333333333332
Oceania,2010,0.8401666666666666
Oceania,2011,0.839
Oceania,2012,0.8411666666666666
Oceania,2013,0.8408333333333333
Oceania,2014,0.851
Oceania,2015,0.8593333333333333
Oceania,2016,0.8596666666666666
Oceania,2017,0.8626666666666667
Oceania,2018,0.8635
Oceania,2019,0.855
Oceania,2020,0.85
Oceania,2021,0.8450000000000001
South America,1951,0.5231666666666667
South America,1952,0.5270833333333333
South America,1953,0.5325
South America,1954,0.52375
South America,1955,0.527
South America,1956,0.5260833333333333
South America,1957,0.5563333333333333
South America,1958,0.6133333333333334
South America,1959,0.65
South America,1960,0.647
South America,1961,0.6476666666666667
South America,1962,0.6394166666666666
South America,1963,0.6291666666666667
South America,1964,0.61775
South America,1965,0.5894166666666667
South America,1966,0.5725
South America,1967,0.5730833333333333
South America,1968,0.5437500000000001
South America,1969,0.5333333333333333
South America,1970,0.5241666666666667
South America,1971,0.5185833333333333
South America,1972,0.5029166666666667
South America,1973,0.4595833333333333
South America,1974,0.43733333333333335
South America,1975,0.43724999999999997
South America,1976,0.42124999999999996
South America,1977,0.42133333333333334
South America,1978,0.42175
South America,1979,0.46366666666666667
South America,1980,0.44275
South America,1981,0.4466666666666666
South America,1982,0.4519166666666667
South America,1983,0.5056666666666666
South America,1984,0.5481666666666667
South America,1985,0.6018333333333333
South America,1986,0.6396666666666667
South America,1987,0.6461666666666667
South America,1988,0.6753333333333332
South America,1989,0.7074166666666667
South America,1990,0.8005
South America,1991,0.8140000000000001
South America,1992,0.8204166666666667
South America,1993,0.8115833333333334
South America,1994,0.8126666666666668
South America,1995,0.8148333333333334
South America,1996,0.81625
South America,1997,0.8148333333333334
South America,1998,0.8154166666666667
South America,1999,0.8116666666666666
South America,2000,0.81475
South America,2001,0.8419166666666666
South America,2002,0.8394166666666667
South America,2003,0.8440833333333333
South America,2004,0.846
South America,2005,0.84775
South America,2006,0.8482500000000001
South America,2007,0.8483333333333333
South America,2008,0.8475
South America,2009,0.8503333333333334
South America,2010,0.8519166666666665
South America,2011,0.8576666666666667
South America,2012,0.8554166666666667
South America,2013,0.847
South America,2014,0.8432499999999999
South America,2015,0.8466666666666667
South America,2016,0.84775
South America,2017,0.8386666666666667
South America,2018,0.8315833333333332
South America,2019,0.8027500000000001
South America,2020,0.78925
South America,2021,0.793
World,1951,0.46839784743965823
World,1952,0.4700460778412179
World,1953,0.47090873508769565
World,1954,0.4766903937207725
World,1955,0.47394184220023033
World,1956,0.4764320823244552
World,1957,0.48397048831198786
World,1958,0.4912685768716467
World,1959,0.4958035755464412
World,1960,0.5063850504559688
World,1961,0.5081897211228757
World,1962,0.5096986825811107
World,1963,0.5125376364699523
World,1964,0.5070548215764404
World,1965,0.5043418364352124
World,1966,0.5033528337683302
World,1967,0.50217346111458
World,1968,0.4944867947773431
World,1969,0.48784348538006445
World,1970,0.4943707999598695
World,1971,0.4918592003502115
World,1972,0.48911294834379104
World,1973,0.4819831891142566
World,1974,0.48126211026800914
World,1975,0.4891861457269323
World,1976,0.487754716832804
World,1977,0.48965766519022313
World,1978,0.49087900283159713
World,1979,0.5060588692179491
World,1980,0.5140007143381234
World,1981,0.5160035238858917
World,1982,0.5144217353153016
World,1983,0.5237073591950538
World,1984,0.5322702655352257
World,1985,0.5448938633256516
World,1986,0.560189482473597
World,1987,0.5667937761391151
World,1988,0.5751893878000243
World,1989,0.5858202694284846
World,1990,0.6600650350543036
World,1991,0.6824432698254127
World,1992,0.6958731120070405
World,1993,0.7030115509490509
World,1994,0.707341132676847
World,1995,0.7163801995623424
World,1996,0.7196172143332857
World,1997,0.7212584712906143
World,1998,0.7229450723509743
World,1999,0.7222575935910127
World,2000,0.730928351631143
World,2001,0.737532781462818
World,2002,0.7433746749179255
World,2003,0.7485771871615186
World,2004,0.7518760370234693
World,2005,0.7539798559804848
World,2006,0.7532395775424447
World,2007,0.7499353407405435
World,2008,0.7502938333034731
World,2009,0.7497258940580105
World,2010,0.7541410520110949
World,2011,0.7574564291659864
World,2012,0.7577325751463453
World,2013,0.7537126366771184
World,2014,0.7512968469500974
World,2015,0.7508274626378688
World,2016,0.7472760901296651
World,2017,0.7437112152999716
World,2018,0.7401713994758357
World,2019,0.7366536733574943
World,2020,0.7261610509788952
World,2021,0.7189748095627405
